"id","ultCot","cod","cotAtual","divYield","ultInsert","ultAt"
"205","2023-01-11","VIVA3","22.11","0.2","2023-01-14 14:30:12","2023-01-14 14:30:12"
"206","2023-01-11","PARD3","21.26","3","2023-01-14 14:30:12","2023-01-14 14:30:12"
"207","2023-01-11","RDNI3","6.45","0.9","2023-01-14 14:30:12","2023-01-14 14:30:12"
"208","2022-10-28","PATI4","51.99","5.6","2023-01-14 14:30:12","2023-01-14 14:30:12"
"209","2023-01-11","STBP3","8.14","8.1","2023-01-14 14:30:12","2023-01-14 14:30:12"
"210","2023-01-11","GEPA4","26.4","9.1","2023-01-14 14:30:12","2023-01-14 14:30:12"
"211","2023-01-11","FLRY3","15.96","5.4","2023-01-14 14:30:12","2023-01-14 14:30:12"
"212","2022-03-07","EQPA6","10.69","8.3","2023-01-14 14:30:12","2023-01-14 14:30:12"
"213","2023-01-11","EGIE3","38.87","7.7","2023-01-14 14:30:12","2023-01-14 14:30:12"
"214","2023-01-11","ABEV3","14.29","5.3","2023-01-14 14:30:12","2023-01-14 14:30:12"
"215","2023-01-11","TFCO4","10.54","1.7","2023-01-14 14:30:12","2023-01-14 14:30:12"
"216","2022-07-01","LCAM3","24.15","5.1","2023-01-14 14:30:12","2023-01-14 14:30:12"
"217","2023-01-11","HYPE3","45.03","2.7","2023-01-14 14:30:12","2023-01-14 14:30:12"
"218","2023-01-11","MULT3","22.72","3.2","2023-01-14 14:30:12","2023-01-14 14:30:12"
"219","2023-01-11","ENEV3","12.66","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"220","2023-01-11","MDIA3","34.51","5.6","2023-01-14 14:30:12","2023-01-14 14:30:12"
"221","2023-01-11","B3SA3","13.45","3.6","2023-01-14 14:30:12","2023-01-14 14:30:12"
"222","2023-01-11","ASAI3","19.76","0.8","2023-01-14 14:30:12","2023-01-14 14:30:12"
"223","2023-01-11","PGMN3","4.49","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"224","2023-01-11","ARZZ3","79","2.3","2023-01-14 14:30:12","2023-01-14 14:30:12"
"225","2023-01-11","ELET6","43.91","2.4","2023-01-14 14:30:12","2023-01-14 14:30:12"
"226","2023-01-11","CSAN3","17.4","2.5","2023-01-14 14:30:12","2023-01-14 14:30:12"
"227","2023-01-11","ECOR3","4.86","0.2","2023-01-14 14:30:12","2023-01-14 14:30:12"
"228","2022-05-27","EEEL4","410","33.9","2023-01-14 14:30:12","2023-01-14 14:30:12"
"229","2023-01-11","EMAE4","66","1.3","2023-01-14 14:30:12","2023-01-14 14:30:12"
"230","2023-01-11","ALPA4","15.13","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"231","2022-12-27","HBTS5","29","4","2023-01-14 14:30:12","2023-01-14 14:30:12"
"232","2023-01-11","CPLE6","7.79","11.4","2023-01-14 14:30:12","2023-01-14 14:30:12"
"233","2023-01-11","VLID3","9.11","3","2023-01-14 14:30:12","2023-01-14 14:30:12"
"234","2023-01-11","INTB3","32.19","1.1","2023-01-14 14:30:12","2023-01-14 14:30:12"
"235","2023-01-11","LPSB3","2.17","3.5","2023-01-14 14:30:12","2023-01-14 14:30:12"
"236","2023-01-11","VAMO3","13.21","2","2023-01-14 14:30:12","2023-01-14 14:30:12"
"237","2022-03-25","CESP6","25.25","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"238","2023-01-11","AMBP3","21.1","1.4","2023-01-14 14:30:12","2023-01-14 14:30:12"
"239","2023-01-11","SOMA3","10.2","0.9","2023-01-14 14:30:12","2023-01-14 14:30:12"
"240","2023-01-11","LOGN3","34.6","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"241","2023-01-11","APER3","27.26","0.2","2023-01-14 14:30:12","2023-01-14 14:30:12"
"242","2023-01-11","RAIZ4","3.58","4.1","2023-01-14 14:30:12","2023-01-14 14:30:12"
"243","2023-01-11","RENT3","55.02","2.1","2023-01-14 14:30:12","2023-01-14 14:30:12"
"244","2023-01-11","CSED3","3.79","3.5","2023-01-14 14:30:12","2023-01-14 14:30:12"
"245","2023-01-11","ARML3","11.99","3.4","2023-01-14 14:30:12","2023-01-14 14:30:12"
"246","2023-01-11","ALSO3","18.29","0.9","2023-01-14 14:30:12","2023-01-14 14:30:12"
"247","2023-01-11","TOTS3","29.15","1.1","2023-01-14 14:30:12","2023-01-14 14:30:12"
"248","2022-10-26","CEPE6","43","9.6","2023-01-14 14:30:12","2023-01-14 14:30:12"
"249","2023-01-11","RRRP3","44.41","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"250","2023-01-11","SQIA3","15.91","0.4","2023-01-14 14:30:12","2023-01-14 14:30:12"
"251","2023-01-11","RADL3","24.27","1","2023-01-14 14:30:12","2023-01-14 14:30:12"
"252","2023-01-11","RDOR3","27.4","1.3","2023-01-14 14:30:12","2023-01-14 14:30:12"
"253","2022-04-06","CEGR3","89","0.8","2023-01-14 14:30:12","2023-01-14 14:30:12"
"254","2022-12-07","BAUH4","83.89","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"255","2023-01-11","PETZ3","6.39","0.3","2023-01-14 14:30:12","2023-01-14 14:30:12"
"256","2022-12-28","LUXM4","81.99","0.8","2023-01-14 14:30:12","2023-01-14 14:30:12"
"257","2023-01-10","MOAR3","450","3.3","2023-01-14 14:30:12","2023-01-14 14:30:12"
"258","2022-12-23","SULA4","7.63","0.3","2023-01-14 14:30:12","2023-01-14 14:30:12"
"259","2023-01-11","PDTC3","2.99","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"260","2022-08-22","CASN3","12.81","0.3","2023-01-14 14:30:12","2023-01-14 14:30:12"
"261","2023-01-11","AMER3","12","5.2","2023-01-14 14:30:12","2023-01-14 14:30:12"
"262","2023-01-11","LJQQ3","4.22","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"263","2023-01-11","NGRD3","1.61","0.9","2023-01-14 14:30:12","2023-01-14 14:30:12"
"264","2023-01-11","IGTI3","2.58","1","2023-01-14 14:30:12","2023-01-14 14:30:12"
"265","2023-01-11","LWSA3","6.6","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"266","2023-01-12","AESB3","9.4","0.9","2023-01-14 14:30:12","2023-01-14 14:30:12"
"267","2023-01-12","RAIL3","18.67","0.1","2023-01-14 14:30:12","2023-01-14 14:30:12"
"268","2023-01-12","ELMD3","11.74","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"269","2023-01-12","HAPV3","4.35","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"270","2023-01-12","YDUQ3","9.58","1.3","2023-01-14 14:30:12","2023-01-14 14:30:12"
"271","2023-01-12","TPIS3","0.95","2","2023-01-14 14:30:12","2023-01-14 14:30:12"
"272","2023-01-12","MGLU3","3.19","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"273","2023-01-12","ESPA3","1.43","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"274","2023-01-12","HBSA3","2.15","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"275","2023-01-12","ORVR3","36.09","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"276","2023-01-12","SMFT3","14.9","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"277","2023-01-12","AERI3","1.28","1.6","2023-01-14 14:30:12","2023-01-14 14:30:12"
"278","2023-01-12","VIIA3","2.46","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"279","2023-01-12","AGXY3","9.75","1.7","2023-01-14 14:30:12","2023-01-14 14:30:12"
"280","2023-01-12","GFSA3","13.22","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"281","2023-01-12","DASA3","13.16","0.7","2023-01-14 14:30:12","2023-01-14 14:30:12"
"282","2023-01-12","ZAMP3","5.23","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"283","2023-01-12","AALR3","21.02","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"284","2023-01-12","LIGT3","4.56","5.6","2023-01-14 14:30:12","2023-01-14 14:30:12"
"285","2023-01-12","COGN3","2.2","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"286","2023-01-12","CASH3","1.13","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"287","2023-01-12","CEAB3","2.55","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"288","2023-01-12","NTCO3","12.34","1.1","2023-01-14 14:30:12","2023-01-14 14:30:12"
"289","2023-01-12","EMBR3","15.71","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"290","2023-01-12","SHOW3","2.35","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"291","2023-01-12","MEAL3","2.84","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"292","2023-01-12","RCSL4","0.59","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"293","2023-01-12","BRFS3","8.56","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"294","2023-01-12","SEQL3","3.38","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"295","2023-01-12","LUPA3","5.45","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"296","2023-01-12","SEER3","4.35","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"297","2023-01-12","TELB4","9.85","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"298","2023-01-12","BOBR4","1.23","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"299","2023-01-12","NORD3","5.8","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"300","2023-01-12","ANIM3","3.91","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"301","2023-01-12","MBLY3","3.35","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"302","2023-01-12","VIVR3","0.52","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"303","2023-01-12","CTKA4","8.5","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"304","2023-01-12","TCSA3","2.93","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"305","2023-01-12","CVCB3","4.89","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"306","2023-01-12","ENJU3","1.12","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"307","2023-01-12","WEST3","1","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"308","2023-01-12","ALPK3","1.75","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"309","2023-01-12","AMAR3","1.35","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"310","2023-01-12","DOTZ3","1.31","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"311","2023-01-12","AZUL4","12.32","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"312","2023-01-12","BRPR3","6.08","41.6","2023-01-14 14:30:12","2023-01-14 14:30:12"
"313","2023-01-12","CEDO4","3.71","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"314","2023-01-12","HETA4","4.14","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"315","2023-01-12","LLIS3","1.69","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"316","2023-01-12","PLAS3","9.6","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"317","2023-01-12","CTSA4","1.61","14.8","2023-01-14 14:30:12","2023-01-14 14:30:12"
"318","2023-01-12","OIBR4","4.3","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"319","2023-01-12","TXRX4","3.4","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"320","2023-01-12","GOLL4","8.27","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
"321","2023-01-12","TEND3","4.7","0","2023-01-14 14:30:12","2023-01-14 14:30:12"
